ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
73,6,7,3,6,0,5,5,10,1,3,10,10,-1,10,8,0,0,0,0,8
74,0,9,10,9,8,7,9,-1,10,9,10,6,4,-1,6,9,9,10,9,10
75,0,8,0,9,6,0,0,0,0,7,0,0,0,8,0,0,7,9,-1,0
76,0,0,0,2,0,0,0,0,1,0,2,5,2,2,0,1,1,3,0,6
77,0,6,0,4,0,0,0,0,0,0,7,-1,9,4,6,7,4,8,7,7
78,0,0,0,0,0,0,3,3,0,0,0,8,6,0,7,0,0,0,0,0
79,8,9,6,6,7,7,7,7,-1,7,7,7,7,7,10,7,-1,9,8,7
80,8,-1,8,9,7,7,8,8,9,9,-1,7,5,5,10,10,10,9,9,7
81,5,8,5,8,6,8,4,5,7,-1,-1,6,7,-1,7,-1,-1,-1,5,5
82,6,8,2,9,7,2,5,3,5,7,7,2,1,-1,7,7,9,9,2,3
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,8,8,10,9,9,8,8,7,9,9,9,8,8,9,8,8,8,10,9,9
85,5,0,4,0,0,0,8,0,0,0,0,0,0,7,0,3,0,0,0,0
86,9,8,8,8,9,9,8,8,10,9,7,-1,10,10,10,8,-1,10,8,-1
87,0,5,2,8,2,0,5,7,8,3,1,0,0,7,8,3,1,0,0,0
88,9,10,7,6,5,0,0,8,10,0,8,0,0,0,7,8,9,7,0,8
89,0,9,0,9,0,0,9,0,0,8,0,0,0,0,-1,0,0,0,0,0
90,7,-1,1,5,7,-1,6,7,1,2,8,5,8,3,7,3,9,9,5,7
