ID,off_mbti,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,ENFJ,ENFP,ENTJ,ESFP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,dum__Bạch dương (21/3 - 19/4),dum__Bảo bình (20/1 - 18/2),dum__Bọ cạp (23/10 - 21/11),dum__Cán cân công lý (23/9 - 22/10),dum__Cự giải (21/6 - 22/7),dum__Kim ngưu (20/4 - 20/5),dum__Ma kết ( 22/12 -19/1),dum__Nhân mã (22/11 - 21/12),dum__Song ngư (19/2 - 20/3),dum__Song tử (21/5 - 20/6),dum__Sư tử (23/7 - 22/8),dum__Xử nữ (23/8 - 22/9),dum__Cam,dum__Hồng nhạt,dum__Trắng,dum__Tím,dum__Vàng,dum__Xanh dương,dum__Xanh lá,dum__Xám,dum__Đen,dum__Đỏ,dum__1,dum__2,dum__3,dum__4,dum__5,dum__6,dum__7,dum__8,dum__9,dum__Hạ,dum__Thu,dum__Xuân,dum__Đông,dum__EDM,dum__Indie,dum__Lo-Fi,dum__Nhạc phim,dum__Pop,dum__Rap,dum__Cello,dum__Guitar Acoustic,dum__Guitar điện,dum__Sáo,dum__Trống,dum__Ukulele,dum__Violon,dum__Đàn piano,dum__Discord,dum__Duolingo,dum__Facebook,dum__Instagram,dum__TikTok,dum__Youtube,dum__Chuyên gây rối nhưng hướng thiện.,dum__Công lý là trên hết.,dum__Cố gắng sống theo quy tắc cả chung và riêng bản thân.,dum__Không tuân theo các quy tắc.,dum__Kẻ chuyên gây rối với mục đích xấu xa.,dum__Nhân vật trung lập.,dum__Sẵn sàng lách luật để thực hiện mục đích xấu xa.,"dum__Sống đúng luật, nhưng không gò bó.",dum__Tôn trọng các quy tắc nhưng dùng nó cho mục đích xấu xa.
59,INFP,7,8,8,9,5,5,6,7,8,8,10,9,7,7,10,9,7,7,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
60,INFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
61,INTJ,0,10,6,7,3,3,3,3,5,4,10,9,8,9,10,6,6,5,4,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
63,INFJ,0,7,3,6,0,2,10,6,6,0,8,9,9,5,10,0,0,6,9,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
66,INFP,0,10,0,8,0,0,0,4,2,0,6,0,0,6,9,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
67,INFP,7,7,2,1,2,2,8,2,2,2,6,2,9,1,3,2,7,1,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
68,INTP,6,7,9,7,7,5,6,9,8,7,7,1,1,8,9,8,5,10,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
69,ENFP,6,0,8,2,5,5,9,9,9,9,9,6,0,0,1,8,8,6,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
70,INFP,10,0,10,0,10,0,7,0,10,0,10,0,0,0,0,10,10,10,10,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
71,INTJ,6,8,6,6,6,6,8,6,9,8,6,5,0,5,8,7,6,6,7,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
