ID,off_mbti,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,ENFJ,ENFP,ENTJ,ESFP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,dum__Bạch dương (21/3 - 19/4),dum__Bảo bình (20/1 - 18/2),dum__Bọ cạp (23/10 - 21/11),dum__Cán cân công lý (23/9 - 22/10),dum__Cự giải (21/6 - 22/7),dum__Kim ngưu (20/4 - 20/5),dum__Ma kết ( 22/12 -19/1),dum__Nhân mã (22/11 - 21/12),dum__Song ngư (19/2 - 20/3),dum__Song tử (21/5 - 20/6),dum__Sư tử (23/7 - 22/8),dum__Xử nữ (23/8 - 22/9),dum__Cam,dum__Hồng nhạt,dum__Trắng,dum__Tím,dum__Vàng,dum__Xanh dương,dum__Xanh lá,dum__Xám,dum__Đen,dum__Đỏ,dum__1,dum__2,dum__3,dum__4,dum__5,dum__6,dum__7,dum__8,dum__9,dum__Hạ,dum__Thu,dum__Xuân,dum__Đông,dum__EDM,dum__Indie,dum__Lo-Fi,dum__Nhạc phim,dum__Pop,dum__Rap,dum__Cello,dum__Guitar Acoustic,dum__Guitar điện,dum__Sáo,dum__Trống,dum__Ukulele,dum__Violon,dum__Đàn piano,dum__Discord,dum__Duolingo,dum__Facebook,dum__Instagram,dum__TikTok,dum__Youtube,dum__Chuyên gây rối nhưng hướng thiện.,dum__Công lý là trên hết.,dum__Cố gắng sống theo quy tắc cả chung và riêng bản thân.,dum__Không tuân theo các quy tắc.,dum__Kẻ chuyên gây rối với mục đích xấu xa.,dum__Nhân vật trung lập.,dum__Sẵn sàng lách luật để thực hiện mục đích xấu xa.,"dum__Sống đúng luật, nhưng không gò bó.",dum__Tôn trọng các quy tắc nhưng dùng nó cho mục đích xấu xa.
14,INFP,3,7,9,8,2,1,5,2,5,7,9,5,9,6,4,5,3,8,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,ENFP,0,8,0,8,0,0,0,7,0,0,9,0,5,10,10,0,0,0,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,INTJ,0,4,0,0,0,0,10,0,0,0,9,9,10,10,10,0,0,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17,ISFP,0,5,0,5,0,0,0,1,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18,INFJ,0,10,1,10,3,1,3,1,7,10,10,10,10,10,10,2,3,0,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
19,INFP,0,9,0,0,6,0,8,8,0,8,9,8,0,9,9,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20,INFP,9,10,8,10,3,5,5,6,10,9,9,10,10,10,10,5,7,8,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21,ENFP,7,8,6,10,9,8,9,9,9,7,10,5,5,9,10,9,8,10,8,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
22,INFP,8,0,5,9,9,0,2,0,9,7,3,4,3,3,3,8,7,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24,ENFP,8,9,9,10,10,10,9,9,10,10,10,9,9,10,10,10,10,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
26,ENFP,8,9,6,7,7,5,9,9,9,8,8,9,9,9,9,7,9,9,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27,ESFP,7,10,0,10,10,0,0,0,0,0,0,10,0,10,10,0,10,10,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28,ENFP,9,10,10,10,10,7,10,10,10,10,10,4,1,10,10,10,10,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29,INFP,7,0,0,1,7,0,6,1,7,7,10,8,0,0,1,6,7,8,8,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
30,ISFJ,0,0,6,1,0,0,8,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
31,ISFP,6,0,0,6,7,0,6,7,8,8,0,0,0,0,8,8,7,7,9,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,INFP,6,6,7,7,6,6,6,6,7,7,7,8,8,7,7,6,7,7,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
33,ISTJ,4,10,3,10,6,8,7,10,3,3,5,7,8,9,10,4,3,6,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
34,ISFP,7,7,7,8,8,6,10,7,6,7,9,9,9,8,10,6,6,6,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
35,INFP,0,9,0,10,10,10,10,10,10,10,10,9,6,10,0,9,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
36,INTP,8,2,5,10,7,1,9,2,0,0,4,0,0,6,0,3,0,10,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
37,ENFP,2,6,7,4,2,3,9,4,7,3,6,6,0,0,7,5,1,8,4,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
38,INFJ,5,7,7,8,4,6,7,8,8,9,9,8,8,8,9,6,7,7,9,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
39,INFP,8,9,8,6,7,4,9,9,9,9,10,8,7,9,10,8,5,9,9,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,INFP,7,9,7,9,9,8,9,9,9,10,10,10,9,9,10,10,9,9,10,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
42,INFP,4,0,8,1,8,7,6,7,2,2,8,5,2,0,1,1,1,8,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
43,ESFP,7,9,10,9,10,7,6,8,9,8,9,10,7,9,9,8,8,10,10,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
44,INFP,10,5,5,10,9,5,5,10,10,10,5,5,10,10,5,5,5,10,10,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
46,INFP,8,9,10,4,10,9,9,10,10,10,9,7,8,4,6,10,7,10,10,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
